Title,Author,Price
LA CHICA DEL VERANO (NOVELA),LA VECINA RUBIA,"18,90 €"
LA ARMADURA DE LA LUZ (SAGA LOS PILARES DE LA TIERRA 5),KEN FOLLETT,"23,65 €"
EL PROBLEMA FINAL,ARTURO PEREZ REVERTE,"20,80 €"
"COMENTARIOS A PLATON: LA REPUBLICA, LIBRO VI-VII (2º BACHILLERATO )",CARLOS L. ROSER MARTINEZ,"13,77 €"
LOS APRENDICES DE BRUJO,ALEXANDRA HENRION CAUDE,"17,95 €"
LA SUPERVIVENCIA DE LOS MAS RICOS,DOUGLAS RUSHKOFF,"19,00 €"
MITOS GRIEGOS (ED.AMPLIADA 2023),MARIA ANGELIDOU,"12,25 €"
ERIK VOGLER 1 :LOS CRIMENES DEL REY BLANCO,BEATRIZ OSES,"11,40 €"
MANOLITO GAFOTAS,ELVIRA LINDO,"8,50 €"
INVISIBLE,ELOY MORENO,"15,15 €"
10.000 MILLAS PARA ENCONTRARTE (BALI 2),MERCEDES RON,"18,00 €"
ALAS DE SANGRE,REBECCA YARROS,"21,75 €"
DISPARARON AL PIANISTA,"FERNANDO TRUEBA
,","37,05 €"
MAS QUE AMIGOS,TOMO KURAHASHI,"9,45 €"
SPIDER-MAN: ACROSS THE SPIDER-VERSE: THE ART OF THE MOVIE (edición en inglés),RAMIN ZAHED,"39,50 €"
LOS INOCENTES EBOOK,MARIA ORUÑA,"9,49 €"
EL PROBLEMA FINAL EBOOK,ARTURO PEREZ REVERTE,"12,34 €"
LA ARMADURA DE LA LUZ (SAGA LOS PILARES DE LA TIERRA 4) EBOOK,KEN FOLLETT,"12,34 €"
LAS DESPEDIDAS,JACOBO BERGARECHE,"18,00 €"
LOS COMIENZOS (TRILOGÍA JUEGOS DE LA ETERNIDAD 1),ANTONIO MORESCO,"31,30 €"
LA CONEJERA (NATIONAL BOOK AWARD FICCION 2022),TESS GUNTY,"23,65 €"
TE DI OJOS Y MIRASTE LAS TINIEBLAS,IRENE SOLA SAEZ,"17,00 €"
BIOGRAFIA DEL FUEGO,CARLOTA GURT,"18,95 €"
AMOR EN JUEGO,ELENA ARMAS,"18,90 €"
LA GUERRA DE LA AMAPOLA,R. F. KUANG,"21,85 €"
EL HIJO PREDILECTO,YUKO TSUSHIMA,"21,80 €"
EL OLOR DEL MIEDO,MANUEL RIOS SAN MARTIN,"20,80 €"
OTABERRA,ELISA VICTORIA,"19,95 €"
EL GRAN LIBRO DE TIEMPO DE JUEGO,CADENA COPE,"21,75 €"
MÁS MUJERES ICÓNICAS TEJIDAS A GANCHILLO,CARLA MITRANI,"23,75 €"
QUIZ PARA RESOLVER MIENTRAS HACES CACA,NATHAN HASELBAUER,"9,45 €"
ARGENTINA Y URUGUAY 2023 (8ª ED.) (LONELY PLANET),VV.AA.,"28,40 €"
PASTA MASTERCLASS,MATEO ZIELONKA,"33,25 €"
CAMINAR Y ADELGAZAR,VV.AA.,"17,10 €"
BLOC DE CRUCIGRAMAS DESAFIO 02,VV.AA.,"8,50 €"
GUIA TOTAL TURÍSTICA Y MONUMENTAL DE GIJÓN,MANUEL GUTIERREZ CLAVEROL,"14,25 €"
EL METODO TAKIMIKA,MIKA TAKISHIMA,"13,20 €"
RECETAS DULCES. GALLETAS. PASO A PASO,VALERIE DEL VAUD,"13,00 €"
LA GUERRA DE LOS CHIPS,CHRIS MILLER,"21,75 €"
SER MADRE ES FACIL (CUANDO NO TIENES HIJOS) (EJEMPLAR FIRMADO POR EL AUTOR),SARA NOGUERA KIMUDI,"18,90 €"
BAILAR CON EL TIEMPO,JOSE MARIA RODRIGUEZ OLAIZOLA,"12,35 €"
SOLO TÚ ME TENDRÁS,TONI MUÑOZ,"17,95 €"
JOVENES ANTIFRANQUISTAS (1965-1975),EUGENIO DEL RIO,"18,52 €"
TIA BUENA,ALBERTO OLMOS,"20,90 €"
AULA O JAULA,TONI SOLANO,"17,95 €"
PARAR PARA VIVIR MEJOR: GUIA DEFINITIVA PARA LIBERARTE DE LA ANSIEDAD Y DEL RUIDO MENTAL.,JAVIER GARCIA CAMPAYO,"19,85 €"
COMO RECUPERAR LA CAPACIDAD DE ATENCION,GLORIA MARK,"19,00 €"
¡CON EL DINERO NO SE JUEGA!,SARA VICENT SANTAMARIA,"18,86 €"
RETO DIASTASIS ABDOMINAL,GABRIELA GRANDE,"19,85 €"
COME SIN HACER DIETA,VICTORIA LOZADA,"20,80 €"
MINECRAFT OFICIAL: LEGENDS,MOJANG AB,"16,05 €"
PACK CDL LUNARIO 2024 + POSTER,"FOSI ALBANDOZ
,","12,25 €"
FERTILIDAD,DR. FRANCISCO CARMONA,"21,75 €"
ES FACIL DEJAR DE FUMAR SIN FUERZA DE VOLUNTAD,ALLEN CARR,"13,20 €"
LA INTELIGENCIA ARTIFICIAL EXPLICADA A LOS HUMANOS,JORDI TORRES,"14,25 €"
SI TU PERRO HABLARA,MAT WARD,"15,20 €"
EN EL LABERINTO,"CRISTIAN LLACH
,","21,75 €"
LA CLASE DE GRIEGO,HAN KANG,"18,90 €"
CÓMO SER UN ESTOICO,MASSIMO PIGLIUCCI,"9,45 €"
EL ALBUM DE PAQUETES,"IÑAKI SAN ROMAN
,","28,50 €"
AGENDA DE LAS BRUJAS 2024,LLEWELLYN,"9,95 €"
HOLLY,STEPHEN KING,"22,70 €"
BOCABESADA,JUAN DEL VAL,"19,85 €"
LOS INOCENTES,MARIA ORUÑA,"20,80 €"
LA ROSA Y LAS ESPINAS,ALFONSO GUERRA,"20,80 €"
ROMPER EL HIELO,HANNAH GRACE,"18,90 €"
HABITOS ATOMICOS,JAMES CLEAR,"18,90 €"
LA VETERINARIA. GRANDES SUEÑOS,SARAH LARK,"21,75 €"
LA MEJOR PERSONA,XAVI PUIG,"18,90 €"
Comprar libros entre más de un millón de referencias,,Libros imprescindibles con 5% dto.
LOS VIRTUOSOS,YASMINA KHADRA,"22,75 €"
"TINTA, SANGRE, HERMANA, ESCRIBA",EMMA TORZS,"18,90 €"
"COME DE TODO, ENTRENA CONMIGO Y CAMBIA TU VIDA",ISASAWEIS,"19,85 €"
RODEADOS DE IDIOTAS,THOMAS ERIKSON,"17,57 €"
ELON MUSK,WALTER ISAACSON,"23,65 €"
LA PSICOLOGIA DEL DINERO. COMO PIENSAN LOS RICOS,MORGAN HOUSEL,"10,40 €"
"PADRE RICO, PADRE POBRE (ED. ACTUALIZADA)",ROBERT T. KIYOSAKI,"10,40 €"
12 REGLAS PARA VIVIR,JORDAN B. PETERSON,"10,40 €"
INVIERTE EN TI,NATALIA DE SANTIAGO,"9,45 €"
LA BAILARINA DE AUSCHWITZ,EDITH EGER,"10,40 €"
RESPIRA,JAMES NESTOR,"9,45 €"
EL ARTE DE LA GUERRA,SUN TZU,"7,55 €"
HOOKED: UNA HISTORIA DE NUNCA JAMAS.,EMILY MCINTIRE,"18,95 €"
30 SUNSETS PARA ENAMORARTE (BALI 1),MERCEDES RON,"18,00 €"
NORMAL PEOPLE (edición en inglés),SALLY ROONEY,"13,90 €"
EVERYTHING I KNOW ABOUT LOVE (edición en inglés),DOLLY ALDERTON,"15,50 €"
SEVEN HUSBANDS OF EVELYN HUGO (edición en inglés),TAYLOR JENKINS REID,"12,90 €"
LOVE THEORETICALLY (edición en inglés),ALI HAZELWOOD,"13,90 €"
FOURTH WING (EMPYREAN 1) (edición en inglés),REBECCA YARROS,"19,40 €"
TWISTED LOVE (edición en inglés),ANA HUANG,"13,90 €"
CLEOPATRA AND FRANKENSTEIN (edición en inglés),COCO MELLORS,"13,90 €"
IT ENDS WITH US (edición en inglés),COLLEEN HOOVER,"12,90 €"
NINETEEN EIGHTY-FOUR (1984) (edición en inglés),GEORGE ORWELL,"12,90 €"
